Qe I25;DS Sexo;NR Ano;Qe I02;Contagem de ID Estudante
B;F;2017;Preta;1691
B;F;2017;Parda;6601
B;F;2017;Não declarar;341
B;F;2017;Indígena;80
B;F;2017;Branca;9446
B;F;2017;Amarela;5103
B;F;2018;Preta;1367
B;F;2018;Parda;6325
B;F;2018;Não declarar;314
B;F;2018;Indígena;63
B;F;2018;Branca;11224
B;F;2018;Amarela;668
B;F;2019;Preta;1356
B;F;2019;Parda;6698
B;F;2019;Não declarar;228
B;F;2019;Indígena;84
B;F;2019;Branca;10449
B;F;2019;Amarela;636
B;M;2017;Preta;812
B;M;2017;Parda;3003
B;M;2017;Não declarar;289
B;M;2017;Indígena;52
B;M;2017;Branca;5753
B;M;2017;Amarela;273
B;M;2018;Preta;822
B;M;2018;Parda;3581
B;M;2018;Não declarar;249
B;M;2018;Indígena;30
B;M;2018;Branca;7284
B;M;2018;Amarela;273
B;M;2019;Preta;922
B;M;2019;Parda;4080
B;M;2019;Não declarar;288
B;M;2019;Indígena;50
B;M;2019;Branca;8494
B;M;2019;Amarela;321
